Voter key,Name,BDN_Name,Seat,Party,Polarization,Democratic agreement,Republican agreement
HIGGINS OF DOVERFOXCROFT,N. Higgins of Dover-Foxcroft,NA,H-120,Independent,0.00792953432525825,0.5971074380165289,0.6190476190476191
STANLEY OF MEDWAY,P. Stanley of Medway,NA,H-143,Republican,-0.10897330481276594,0.6398416886543535,0.5284015852047557
NADEAU OF WINSLOW,C. Nadeau of Winslow,NA,H-78,Republican,-0.1298521062908872,0.6614785992217899,0.5168831168831168
SAVIELLO OF FRANKLIN,T. Saviello of Franklin,NA,S-17,Republican,0.20592768324563634,0.6082089552238806,0.8383458646616542
KATZ OF KENNEBEC,R. Katz of Kennebec,NA,S-15,Republican,0.2163609999927134,0.5781818181818181,0.8168498168498168
HILL OF YORK,D. Hill of York,NA,S-35,Democratic,-0.26997273151684903,0.863013698630137,0.6036866359447005
MAKER OF WASHINGTON,J. Maker of Washington,NA,H-140/H-31/S-6,Republican,0.288755974106221,0.5632183908045977,0.9073359073359073
FECTEAU OF BIDDEFORD,R. Fecteau of Augusta,NA,H-11,Democratic,-0.3113454169082919,0.7414104882459313,0.40452488687782806
FECTEAU OF AUGUSTA,R. Fecteau of Augusta,NA,H-11,Democratic,-0.3113454169082919,0.7414104882459313,0.40452488687782806
MAREAN OF HOLLIS,D. Marean of Hollis,NA,H-16,Independent/<br>Republican,0.33121843318859767,0.40471092077087795,0.7896995708154506
LANGLEY OF HANCOCK,B. Langley of Hancock,Brian Langley,S-7,Republican,0.34406831322272485,0.5019305019305019,0.9224806201550387
COREY OF WINDHAM,P. Corey of Windham,NA,H-25,Republican,0.34634412290501965,0.4069319640564827,0.7724935732647815
VOLK OF CUMBERLAND,A. Volk of Cumberland,NA,S-30,Republican,0.3600371812410115,0.4980544747081712,0.9333333333333333
CASAS OF ROCKPORT,O. CasÃ¡s of Rockport,NA,H-94,Independent,-0.36346287650447406,0.7852941176470588,0.40707964601769914
SHERMAN OF HODGDON,R. Sherman of Hodgdon,NA,H-144,Republican,0.3689087801652245,0.38372093023255816,0.8132295719844358
COLLINS OF YORK,R. Collins of York,NA,S-34,Republican,0.3805169536465157,0.48717948717948717,0.9520295202952029
BATTLE OF SOUTH PORTLAND,K. Battle of South Portland,NA,H-33,Independent,-0.3874066268683175,0.8316151202749141,0.4241379310344828
BRAKEY OF ANDROSCOGGIN,E. Brakey of Androscoggin,Eric L. Brakey,S-20,Republican,0.3963708030803616,0.3726235741444867,0.7931034482758621
TUELL OF EAST MACHIAS,W. Tuell of East Machias,NA,H-139,Republican,0.40448474570848436,0.36259541984732824,0.8012738853503185
WHITTEMORE OF SOMERSET,R. Whittemore of Somerset,NA,S-3,Republican,0.40817369620503985,0.4542124542124542,0.948339483394834
LANDRY OF FARMINGTON,H. Landry of Farmington,H. Scott Landry,H-113,Democratic,-0.4095659639440108,0.777511961722488,0.35645933014354064
VACHON OF SCARBOROUGH,K. Vachon of Scarborough,NA,H-29,Republican,0.41637190840103555,0.38,0.8510028653295129
THIBODEAU OF WALDO,M. Thibodeau of Waldo,NA,S-11,Republican,0.42334137394659777,0.4384057971014493,0.9562043795620438
HERRICK OF PARIS,L. Herrick of Paris,NA,H-73,Republican,0.42558021020354425,0.375,0.8487084870848709
MASON OF ANDROSCOGGIN,G. Mason of Androscoggin,NA,S-22,Republican,0.4268839291140517,0.41544117647058826,0.8888888888888888
DION OF CUMBERLAND,M. Dion of Cumberland,NA,H-113/H-43/S-28,Democratic,-0.438794020655761,0.9753086419753086,0.4979253112033195
CUSHING OF PENOBSCOT,A. Cushing of Penobscot,NA,H-39/S-10/S-33,Republican,0.4399103757347251,0.4,0.8951612903225806
DOW OF LINCOLN,D. Dow of Lincoln,NA,H-50/S-13,Republican,0.44480812564859806,0.425629290617849,0.9284064665127021
VEROW OF BREWER,A. Verow of Brewer,NA,H-128/H-21,Democratic,-0.45518157309176327,0.839622641509434,0.3018867924528302
ROSEN OF HANCOCK,K. Rosen of Hancock,NA,S-8,Republican,0.47862030892113416,0.39943741209563993,0.9133522727272727
BENNETT OF OXFORD,R. Bennett of Oxford,Richard A. Bennett,S-19,Republican,0.4793325138467455,0.3771626297577855,0.8566433566433567
STEARNS OF GUILFORD,P. Stearns of Guilford,NA,H-119,Republican,0.48324617321589536,0.3253652058432935,0.8590425531914894
WOODSOME OF YORK,D. Woodsome of York,David Woodsome,S-33,Republican,0.4834331213586519,0.3954154727793696,0.911849710982659
WARD OF DEDHAM,K. Ward of Dedham,NA,H-131,Republican,0.4835175906437411,0.3333333333333333,0.8973384030418251
DIAMOND OF CUMBERLAND,B. Diamond of Cumberland,NA,S-12/S-26,Democratic,-0.4863768780035271,0.9156293222683264,0.401673640167364
GROHMAN OF BIDDEFORD,M. Grohman of Biddeford,NA,H-12,Independent,-0.4865894866923658,0.86084142394822,0.34415584415584416
GILLWAY OF SEARSPORT,J. Gillway of Searsport,NA,H-98,Republican,0.49120344443070446,0.32653061224489793,0.8918128654970761
BICKFORD OF AUBURN,B. Bickford of Auburn,NA,H-63,Republican,0.5078488354188442,0.30261348005502064,0.8636363636363636
CARPENTER OF AROOSTOOK,M. Carpenter of Aroostook,NA,S-2,Democratic,-0.5117574702474993,0.9631449631449631,0.40594059405940597
POULIOT OF KENNEBEC,M. Pouliot of Augusta,NA,S-15,Republican,0.5143712239730458,0.33125,0.8879093198992444
POULIOT OF AUGUSTA,M. Pouliot of Augusta,Matthew Pouliot,S-15,Republican,0.5143712239730458,0.33125,0.8879093198992444
