,Party,Polarization,Unanimity,Yes polarization,Republican yes votes,Republican no votes,Democratic yes votes,Democratic no votes,Republican yes,Democratic yes,Party polarization,Title,title_w_breaks,Date,Session,Key,Democratic votes yes/no,Republican votes yes/no
2704,Democratic,-0.8905628792634442,0.9753086419753086,-0.8905628792634442,5,54,79,2,0.0847457627118644,0.9753086419753086,-0.8905628792634442,An Act To Provide For School Choice And Online Learning Opportunities In Response To The Covid-19 Pandemic,An Act To Provide For School<br>Choice And Online Learning<br>Opportunities In Response To<br>The Covid-19 Pandemic,2021-04-28,130,74afe0a5-d7fe-4306-b847-2399fbcabc79,79/2,5/54
2098,Democratic,-0.8908591408591409,0.987012987012987,-0.8908591408591409,5,47,76,1,0.09615384615384616,0.987012987012987,-0.8908591408591409,An Act To Improve Access To Hiv Prevention Medications,An Act To Improve Access To<br>Hiv Prevention Medications,2021-06-10,130,d1b7059c-b57b-4bfd-913c-d7baeb670d25,76/1,5/47
2386,Democratic,-0.8918918918918919,0.8918918918918919,-0.8918918918918919,0,62,66,8,0.0,0.8918918918918919,-0.8918918918918919,An Act To Divert Older Youth From The Adult Criminal Justice System,An Act To Divert Older Youth<br>From The Adult Criminal<br>Justice System,2021-06-30,130,e89fe6b5-2f44-463e-9c9c-1d7409bdc303,66/8,0/62
2598,Democratic,-0.8933333333333333,0.8933333333333333,-0.8933333333333333,0,62,67,8,0.0,0.8933333333333333,-0.8933333333333333,An Act To Amend The Maine Bail Code Regarding Certain Conditions Of Release And The Maine Criminal Code Regarding Warrantless Arrests,An Act To Amend The Maine Bail<br>Code Regarding Certain<br>Conditions Of Release And The<br>Maine Criminal Code Regarding<br>Warrantless Arrests,2021-06-30,130,ed2295a8-28f2-4417-afc8-a0ba2a879791,67/8,0/62
2538,Democratic,-0.8943833943833943,0.9102564102564102,-0.8943833943833943,1,62,71,7,0.015873015873015872,0.9102564102564102,-0.8943833943833943,"An Act To Decriminalize Engaging In Prostitution, Strengthen The Laws Against Commercial Sexual Exploitation And Allow A Person Convicted Of Engaging In Prostitution To Petition The Court To Expunge The Record Of Conviction","An Act To Decriminalize<br>Engaging In Prostitution,<br>Strengthen The Laws Against<br>Commercial Sexual Exploitation<br>And Allow A Person Convicted<br>Of Engaging In Prostitution To<br>Petition The Court To Expunge<br>The Record Of Conviction",2021-06-30,130,5981d7a1-8ac5-461b-aa4e-24165e4ddc7d,71/7,1/62
2696,Democratic,-0.8947368421052632,0.8947368421052632,-0.8947368421052632,0,13,17,2,0.0,0.8947368421052632,-0.8947368421052632,An Act To Improve Educational Opportunities By Exempting Children Who Attend Virtual Public Charter Schools From Immunization Requirements And Expanding Enrollment At Virtual Public Charter Schools,An Act To Improve Educational<br>Opportunities By Exempting<br>Children Who Attend Virtual<br>Public Charter Schools From<br>Immunization Requirements And<br>Expanding Enrollment At<br>Virtual Public Charter Schools,2021-06-03,130,6ba8827c-6578-4792-929b-835534845b69,17/2,0/13
2082,Democratic,-0.8947368421052632,0.8947368421052632,-0.8947368421052632,0,12,17,2,0.0,0.8947368421052632,-0.8947368421052632,An Act To Create A Logging Dispute Resolution Board And To Require Proof Of Ownership Documents To Be Available Within 14 Days Of Request,An Act To Create A Logging<br>Dispute Resolution Board And<br>To Require Proof Of Ownership<br>Documents To Be Available<br>Within 14 Days Of Request,2022-04-12,130,4ef46c3b-3b00-45fb-8b1d-75062d3e76ff,17/2,0/12
2850,Democratic,-0.8961038961038961,0.8961038961038961,-0.8961038961038961,0,62,69,8,0.0,0.8961038961038961,-0.8961038961038961,An Act To Add A Faculty Member And Nonfaculty Staff Member To The Board Of Trustees Of The University Of Maine System,An Act To Add A Faculty Member<br>And Nonfaculty Staff Member To<br>The Board Of Trustees Of The<br>University Of Maine System,2021-06-30,130,012dcce4-c326-4f54-a9d0-fdd84a548a70,69/8,0/62
2974,Democratic,-0.8888888888888888,0.8888888888888888,-0.8888888888888888,0,11,16,2,0.0,0.8888888888888888,-0.8888888888888888,An Act Implementing The Recommendations Of The Task Force On Changes To The Maine Indian Claims Settlement Implementing Act,An Act Implementing The<br>Recommendations Of The Task<br>Force On Changes To The Maine<br>Indian Claims Settlement<br>Implementing Act,2022-04-25,130,2420460d-bd5e-4ed9-a408-209abf16dccb,16/2,0/11
2942,Democratic,-0.8863819500402901,0.9452054794520548,-0.8863819500402901,3,48,69,4,0.058823529411764705,0.9452054794520548,-0.8863819500402901,An Act To Require Telecommunications Companies To Divulge Location Information To Law Enforcement When Necessary To Respond To A 9-1-1 Call Or Locate A Person In Danger,An Act To Require<br>Telecommunications Companies<br>To Divulge Location<br>Information To Law Enforcement<br>When Necessary To Respond To A<br>9-1-1 Call Or Locate A Person<br>In Danger,2022-04-11,130,57491f5e-d897-408e-919b-f955ac7e0e31,69/4,3/48
