,Name,City,Seat,Party,Polarization,Democratic agreement,Republican agreement
110,"Higgins, N.",Dover-Foxcroft,H-120,Independent,0.00792953432525825,0.5971074380165289,0.6190476190476191
171,"Stanley, P.",Medway,H-143,Republican,-0.10897330481276594,0.6398416886543535,0.5284015852047557
146,"Nadeau, C.",Winslow,H-78,Republican,-0.1298521062908872,0.6614785992217899,0.5168831168831168
219,"Saviello, T.",Franklin,S-17,Republican,0.20592768324563634,0.6082089552238806,0.8383458646616542
215,"Katz, R.",Kennebec,S-15,Republican,0.2163609999927134,0.5781818181818181,0.8168498168498168
214,"Hill, D.",York,S-35,Democratic,-0.26997273151684903,0.863013698630137,0.6036866359447005
217,"Maker, J.",Washington,H-140,Republican,0.288755974106221,0.5632183908045977,0.9073359073359073
217,"Maker, J.",Washington,H-31,Republican,0.288755974106221,0.5632183908045977,0.9073359073359073
217,"Maker, J.",Washington,S-6,Republican,0.288755974106221,0.5632183908045977,0.9073359073359073
91,"Fecteau, R.",Augusta,H-11,Democratic,-0.3113454169082919,0.7414104882459313,0.40452488687782806
129,"Marean, D.",Hollis,H-16,Independent/Republican,0.33121843318859767,0.40471092077087795,0.7896995708154506
216,"Langley, B.",Hancock,S-7,Republican,0.34406831322272485,0.5019305019305019,0.9224806201550387
74,"Corey, P.",Windham,H-25,Republican,0.34634412290501965,0.4069319640564827,0.7724935732647815
221,"Volk, A.",Cumberland,S-30,Republican,0.3600371812410115,0.4980544747081712,0.9333333333333333
225,"CasÃ¡s, O.",Rockport,H-94,Independent,-0.36346287650447406,0.7852941176470588,0.40707964601769914
258,"Sherman, R.",Hodgdon,H-144,Republican,0.3689087801652245,0.38372093023255816,0.8132295719844358
211,"Collins, R.",York,S-34,Republican,0.3805169536465157,0.48717948717948717,0.9520295202952029
224,"Battle, K.",South Portland,H-33,Independent,-0.3874066268683175,0.8316151202749141,0.4241379310344828
210,"Brakey, E.",Androscoggin,S-20,Republican,0.3963708030803616,0.3726235741444867,0.7931034482758621
184,"Tuell, W.",East Machias,H-139,Republican,0.40448474570848436,0.36259541984732824,0.8012738853503185
222,"Whittemore, R.",Somerset,S-3,Republican,0.40817369620503985,0.4542124542124542,0.948339483394834
124,"Landry, H.",Farmington,H-113,Democratic,-0.4095659639440108,0.777511961722488,0.35645933014354064
263,"Vachon, K.",Scarborough,H-29,Republican,0.41637190840103555,0.38,0.8510028653295129
220,"Thibodeau, M.",Waldo,S-11,Republican,0.42334137394659777,0.4384057971014493,0.9562043795620438
243,"Herrick, L.",Paris,H-73,Republican,0.42558021020354425,0.375,0.8487084870848709
218,"Mason, G.",Androscoggin,S-22,Republican,0.4268839291140517,0.41544117647058826,0.8888888888888888
213,"Dion, M.",Cumberland,H-113,Democratic,-0.438794020655761,0.9753086419753086,0.4979253112033195
