Vote key,Vote polarization,Democratic yes votes,Democratic no votes,Republican yes votes,Republican no votes,Title,Date,Session
9e34cf6b-ff9e-4b00-82a5-baa74605824b,-0.8905628792634442,79,2,5,54,An Act To Provide For School Choice And Online Learning Opportunities In Response To The Covid-19 Pandemic,2021-04-28,130
1450d7e0-322d-4b15-b1c2-6243afea5364,-0.8908591408591409,76,1,5,47,An Act To Improve Access To Hiv Prevention Medications,2021-06-10,130
7ea4bb09-af90-43af-9631-6fa86827a1b1,-0.8918918918918919,66,8,0,62,An Act To Divert Older Youth From The Adult Criminal Justice System,2021-06-30,130
662bbf4d-8b97-4d9b-be70-07d82e752e3a,-0.8933333333333333,67,8,0,62,An Act To Amend The Maine Bail Code Regarding Certain Conditions Of Release And The Maine Criminal Code Regarding Warrantless Arrests,2021-06-30,130
5283eacf-39a2-40c3-b019-daee9c356c1a,-0.8943833943833943,71,7,1,62,"An Act To Decriminalize Engaging In Prostitution, Strengthen The Laws Against Commercial Sexual Exploitation And Allow A Person Convicted Of Engaging In Prostitution To Petition The Court To Expunge The Record Of Conviction",2021-06-30,130
857f5bb3-f2c5-44e7-a52d-e7f107f27876,-0.8947368421052632,17,2,0,13,An Act To Improve Educational Opportunities By Exempting Children Who Attend Virtual Public Charter Schools From Immunization Requirements And Expanding Enrollment At Virtual Public Charter Schools,2021-06-03,130
b1399b90-f896-4d39-828b-26f1f72ee322,-0.8947368421052632,17,2,0,12,An Act To Create A Logging Dispute Resolution Board And To Require Proof Of Ownership Documents To Be Available Within 14 Days Of Request,2022-04-12,130
34cacd6d-1b8f-4691-8585-261113d16ca9,-0.8961038961038961,69,8,0,62,An Act To Add A Faculty Member And Nonfaculty Staff Member To The Board Of Trustees Of The University Of Maine System,2021-06-30,130
b8a42262-f602-4e89-b0c2-1c3b172d0a75,-0.8888888888888888,16,2,0,11,An Act Implementing The Recommendations Of The Task Force On Changes To The Maine Indian Claims Settlement Implementing Act,2022-04-25,130
7a1d818d-cb6d-4d7d-aacf-4478b54e8fc7,-0.8863819500402901,69,4,3,48,An Act To Require Telecommunications Companies To Divulge Location Information To Law Enforcement When Necessary To Respond To A 9-1-1 Call Or Locate A Person In Danger,2022-04-11,130
319009f3-228d-4e8e-904f-e071a22c95e3,-0.8800366300366301,77,1,6,50,An Act To Amend The Laws Governing Post-Conviction Review In Order To Facilitate The Fair Hearing Of All Newly Discovered Evidence,2021-06-17,130
ee94e190-c15a-4752-853c-a248befff290,-0.868421052631579,66,10,0,56,An Act To Require Responsible Contracting Practices For Public Construction Projects,2021-06-17,130
cf8f3525-bb89-4e9d-a426-fc1d5a6389fb,-0.8701298701298701,67,10,0,62,An Act To Reduce The Burden On Courts And Promote The Resolution Of Civil Cases,2021-06-30,130
233ee89c-ffe8-4ddd-88e6-3d445b4651a5,-0.8736908253037285,71,6,3,59,An Act To Promote Oversight Of And Competitive Parity Among Video Service Providers,2021-06-30,130
6690b95d-92ec-4aa3-9b77-d3298a80145f,-0.875,78,2,6,54,An Act To Allow A Parent Or Guardian Of A Student Who Has Been Affected By Covid-19 To Keep The Student In The Student's Current Grade Level,2021-04-28,130
79ff2b9c-db22-4278-aed1-7de3430c4e68,-0.8754578754578755,20,1,1,12,Joint Resolution Making Application To The Congress Of The United States Calling An Article V Constitutional Convention To Propose An Amendment To The United States Constitution To Impose Congressional Term Limits,2021-06-02,130
7139da03-a37f-440e-8914-49fdd2364eb9,-0.8754578754578755,20,1,1,12,An Act To Protect Firearm Use And Possession Rights During A State Of Emergency And Require A Two-Thirds Vote By The Legislative Council To Declare Or Extend A State Of Emergency,2021-06-15,130
557b3996-3791-4db1-bc69-6b6a1be5307d,-0.8762075134168157,63,2,4,39,An Act To Implement The Recommendations Of The Commission To Increase Housing Opportunities In Maine By Studying Zoning And Land Use Restrictions,2022-04-25,130
25820fa3-b150-4f1b-bf25-f5c06e9289e3,-0.8771929824561404,69,0,7,50,An Act To Reestablish Parole,2022-01-26,130
865fb849-65f9-4900-b7ec-bf4d33311a34,-0.8983050847457628,80,0,6,53,An Act To Continue The Green Power Electricity Offer,2021-03-11,130
9bfe4fac-0035-44e5-a504-021db0d52cb0,-0.9,18,2,0,11,An Act To Prohibit The Reception Of Foreign Waste Plastic In Maine Ports,2021-06-09,130
8d9a8188-580b-429c-9562-6aecbecb259a,-0.9,18,2,0,13,An Act Regarding The Licensing Of Persons To Conduct Advance Deposit Wagering,2021-06-17,130
7a98fc9f-40db-45fd-bba1-08f5cdce8c8e,-0.9056603773584906,69,0,5,48,Joint Resolution Commemorating The January 6Th Insurrection,2022-01-05,130
49c3af02-217f-400e-b8e5-e1d9c9628bc5,-0.9056603773584906,69,0,5,48,An Act To Support Children's Healthy Development And School Success,2021-07-01,130
cc261b30-fc8c-484c-ad54-7b425266323a,-0.9078947368421052,69,7,0,55,An Act To Create The Maine Generation Authority,2022-04-12,130
4d4d9d1a-9de2-491a-aacd-a348e3bd727c,-0.9090909090909092,20,2,0,13,An Act To Amend The Child Endangerment Laws To Include Certain Unauthorized Access To A Loaded Firearm,2021-06-16,130
9cbd923e-bc49-4c2d-9e41-d7b32b6900f1,-0.9090909090909092,20,2,0,12,An Act To Set A Minimum Wage For School Support Staff,2021-06-10,130
db7d9ccf-a5f9-4a8b-8657-3b0600f2c60e,-0.9090909090909092,20,2,0,11,An Act To Improve Family Day Care Providers By Increasing The Number Of Children Allowed To Be Cared For Without Obtaining Certification,2021-06-07,130
a28f0814-ab99-4fcc-8b2f-afbb5c1fd9f9,-0.9090909090909092,20,2,0,13,An Act To Require The Acceptance Of Cash For In-Person Retail Transactions,2021-06-08,130
b62283a5-3e6a-4c8b-8984-8ca187ef5b46,-0.9090909090909092,20,2,0,13,An Act To Ensure The Right To Self-Defense Exists Outside The Home By Removing The Requirement To Retreat,2021-06-14,130
e6bdd51a-9a9d-4d19-8572-1ae8e5606fcc,-0.9090909090909092,20,2,0,12,An Act To Assist Certain Businesses In The State That Sell Prepared Food Or Alcohol,2021-06-07,130
ffe07708-1c79-4d96-8d6e-6f7d2a0ed67d,-0.9047619047619048,57,6,0,54,An Act To Encourage Job Growth In The Forest Products Sector Through Tax Incentives,2022-05-09,130
6ec7852f-7a0e-4b30-9feb-ead6e4be854c,-0.9014084507042254,64,7,0,57,An Act To Protect Farm Workers By Allowing Them To Organize For The Purpose Of Collective Bargaining,2022-01-26,130
303e870c-31f7-4a35-929f-5181246222ea,-0.9027542372881356,79,1,5,54,An Act To Limit The Use Of Hydrofluorocarbons To Fight Climate Change,2021-06-03,130
1a3b7c11-fc8f-4d71-88f2-78af89c148e6,-0.9047619047619048,19,2,0,13,An Act To Keep All Maine Students Safe By Restricting The Use Of Seclusion And Restraint In Schools,2021-06-30,130
a2e5f6eb-c530-4c3b-ae91-983d96f854dc,-0.9047619047619048,19,2,0,13,An Act To Amend The Laws Governing Tobacco Specialty Stores,2021-06-02,130
5b906728-2a24-4cd2-bb58-439294cd257b,-0.9047619047619048,19,2,0,13,An Act To Implement The Recommendations Of The Commission To Create A Plan To Incorporate The Probate Courts Into The Judicial Branch,2022-04-18,130
08e2a588-9e13-4ae9-89ac-4d4819efd339,-0.9047619047619048,19,2,0,13,An Act To Enhance Enforcement Of Employment Laws,2021-07-19,130
50e9f55f-7264-420d-946b-01bec3d395ed,-0.9047619047619048,19,2,0,12,An Act To Allow A Qualifying Religious Organization To Self-Insure For Automobile Insurance,2021-06-10,130
b5aef240-7475-467f-a922-52fc1961fabb,-0.9047619047619048,19,2,0,13,An Act To Promote Accountability In Maine's Charter Schools,2021-06-02,130
802a5558-70fd-41ad-9f81-4617a0fc00ad,-0.8672438672438672,68,9,1,62,"Resolve, To Develop A Plan To Close The Long Creek Youth Development Center And Redirect Funding To Community Integration Services For Adjudicated Youth",2021-06-30,130
6d1cdb07-560d-49d1-be7f-03394f72a61c,-0.8655926352128883,77,2,6,49,An Act To Prohibit Municipalities From Prohibiting Short-Term Rentals,2021-06-02,130
c7052e02-5ea2-4042-a1ba-aa642d22eeb1,-0.75,19,0,3,9,An Act To Support Child Care Providers And School Readiness Through Tax Credits,2022-03-31,130
9f4b6b58-c344-4187-bfb3-6758b0af54da,-0.8095238095238095,17,4,0,13,An Act Concerning Climate And Community Investment Projects,2021-07-19,130
e099e52f-531e-42e0-8f2d-cf947fc53839,-0.8,44,11,0,54,An Act To Strengthen The Governance Of The Maine Community College System And University Of Maine System,2022-05-09,130
8adc3d3b-88db-43d7-8784-d349260a46cd,-0.8,16,4,0,12,An Act To Make Changes To The State's Hemp Program,2022-05-09,130
1dbb9377-121f-4a76-8d1c-03cfa9fbd36a,-0.8051948051948052,62,15,0,52,An Act To Prohibit Evictions Until 90 Days After The End Of The Governor's Declaration Of Emergency,2021-06-10,130
6bc44426-8f21-4cfe-b841-0539772041f7,-0.8084795321637428,62,10,3,54,"An Act To Create The Pine Tree Power Company, A Nonprofit Utility, To Deliver Lower Rates, Reliability And Local Control For Maine Energy Independence",2021-07-19,130
6858dc61-176b-4c62-ac5e-bdfa035ae920,-0.810126582278481,64,15,0,56,An Act Regarding The University Of Maine System Hiring Practices,2021-06-02,130
d143716d-8693-476c-8799-8c629d64d8e9,-0.8125,65,15,0,55,An Act To Amend The Maine Exclusion Amount In The Estate Tax,2021-06-15,130
6169a472-167e-4a92-9953-9f43c4f9c697,-0.8125,65,15,0,62,An Act To Promote Civic Engagement And Voter Participation For Young People By Lowering The Voting Age For Municipal Elections To 16 Years Of Age,2021-06-02,130
46daccae-305d-44a7-b61c-c662c0e89dff,-0.8144283121597096,75,1,10,48,"Resolve, Regarding Legislative Review Of Portions Of Chapter 570:  Uniform Reporting System For Prescription Drug Price Data Sets, A Major Substantive Rule Of The Maine Health Data Organization",2021-06-14,130
18206424-07b4-425b-9245-a63fb0dd0e21,-0.7985347985347985,20,1,2,11,An Act To Authorize The Use Of Tax Increment Financing Funds For Constructing Or Renovating Municipal Offices And Other Buildings,2021-04-28,130
7ecf9b99-8fa5-4d06-b1b2-c5ab5a32bd9b,-0.7931034482758621,75,0,12,46,"Resolve, To Improve Air Quality And Ventilation In Maine's Public Schools",2021-06-08,130
f5c42971-da44-48e3-b253-6128847cf0e0,-0.759493670886076,60,19,0,55,An Act To Define Commercial And Noncommercial Purveyors Of Accommodations For Short-Term Rental,2021-06-02,130
