,Seat,Name,Party,Polarization,Democratic agreement,Republican agreement
0,S-1,Susan Bernard,R,0.8026667695864469,0.10126582278481013,0.9746835443037974
1,S-1,Troy D. Jackson,D,-0.5756970097541217,0.9683195592286501,0.34075104311543813
2,S-7,Brian Langley,R,0.34406831322272485,0.5019305019305019,0.9224806201550387
3,S-7,Nicole C. Grohoski,D,-0.7232541202344356,0.9369158878504673,0.15186915887850466
4,S-11,Glenn Chip Curry,D,-0.6345456770248549,0.9577464788732394,0.2704626334519573
5,S-11,MaryAnne Kinney,R,0.6522862752449768,0.21458625525946703,0.9410112359550562
6,S-14,Jeffery P. Hanley,R,0.7036365894026311,0.1592797783933518,0.9431345353675451
7,S-20,Bettyann W. Sheats,D,-0.634241595887036,0.9561904761904761,0.26717557251908397
8,S-20,Eric L. Brakey,R,0.3963708030803616,0.3726235741444867,0.7931034482758621
9,H-56,Kent Ackley,U,-0.5954452534272185,0.8950381679389313,0.25812619502868067
10,H-56,Randall Adam Greenwood,R,0.8171467718363511,0.08365019011406843,0.9619771863117871
11,H-145,Daniel J. Hobbs,D,-0.6142207970587035,0.9222222222222223,0.25
12,H-145,Timothy M Roche,R,0.6325449942710997,0.21830985915492956,0.8943661971830986
