Maine Senate - District 1,,,,Maine House of Representatives - District 1,,
,,,,,,
CANDIDATES,,,,CANDIDATES,,
R,Susan Bernard,Answers,,R,Austin L Theriault,No response
D,Troy D. Jackson,No response,,D,Dana Appleby,Answers
,,,,,,
Maine Senate - District 2,,,,Maine House of Representatives - District 2,,
,,,,,,
CANDIDATES,,,,CANDIDATES,,
D,Danielle Fienberg,Answers,,D,Bernard 'Ben' Paradis,Answers
R,Harold Stewart III,No response,,R,Roger Clarence Albert,No response
,,,,,,
Maine Senate - District 3,,,,Maine House of Representatives - District 3,,
,,,,,,
CANDIDATES,,,,CANDIDATES,,
R,Bradlee Farrin,Answers,,D,David Harold McCrea,Answers
D,Shawn Bean,No response,,R,Mark Michael Babin,No response
,,,,,,
Maine Senate - District 4,,,,Maine House of Representatives - District 4,,
,,,,,,
CANDIDATES,,,,CANDIDATES,,
D,Andrea Thurlow,No response,,D,Jordyn Rossignol,Answers
R,Stacey Kay Guerin,Answers,,R,Timothy Guerrette,No response
,,,,,,
Maine Senate - District 5,,,,Maine House of Representatives - District 5,,
,,,,,,
CANDIDATES,,,,CANDIDATES,,
U,Doug Thomas,Answers,,R,Joseph F. Underwood,No response
R,Russell Black,Answers,,D,Kevin Gregory Freeman,No response
D,Stanley A Wheeler,No response,,,,
,,,,Maine House of Representatives - District 6,,
Maine Senate - District 6,,,,,,
,,,,CANDIDATES,,
CANDIDATES,,,,R,Donald James Ardell,No response
D,Jonathan Goble,No response,,,,
R,Marianne Moore,Answers,,Maine House of Representatives - District 7,,
,,,,,,
Maine Senate - District 7,,,,CANDIDATES,,
,,,,R,Gregory Swallow,No response
CANDIDATES,,,,,,
R,Brian Langley,No response,,Maine House of Representatives - District 8,,
D,Nicole C. Grohoski,Answers,,,,
,,,,CANDIDATES,,
Maine Senate - District 8,,,,D,Kevin B. Ritchie,Answers
,,,,R,Tracy Quint,No response
CANDIDATES,,,,,,
R,Eric Rojo,No response,,Maine House of Representatives - District 9,,
D,Michael Tipping,Answers,,,,
,,,,CANDIDATES,,
Maine Senate - District 9,,,,D,Anne Churchill Perry,No response
,,,,R,John Victor Chambers,No response
CANDIDATES,,,,,,
D,Joe Baldacci,Answers,,Maine House of Representatives - District 10,,
R,Suzette Furrow,No response,,,,
,,,,CANDIDATES,,
Maine Senate - District 10,,,,R,Kenneth Davis Jr.,No response
,,,,U,Melissa Louisa Hinerman,Answers
CANDIDATES,,,,,,
R,Peter A. Lyford,No response,,Maine House of Representatives - District 11,,
D,Ralph Edward Cammack,No response,,,,
,,,,CANDIDATES,,
Maine Senate - District 11,,,,D,Roland (Skip) Rogers,Answers
,,,,R,Tiffany Strout,No response
CANDIDATES,,,,,,
D,Glenn Chip Curry,No response,,Maine House of Representatives - District 12,,
R,MaryAnne Kinney,No response,,,,
,,,,CANDIDATES,,
Maine Senate - District 12,,,,R,Billy Bob Faulkingham,No response
,,,,U,Roy D. Gott,Answers
CANDIDATES,,,,,,
D,Anne H. Beebe-Center,Answers,,Maine House of Representatives - District 13,,
R,W. Scott Rocknak,Answers,,,,
,,,,CANDIDATES,,
Maine Senate - District 13,,,,D,J. Mark Worth,Answers
,,,,R,John David Linnehan,No response
CANDIDATES,,,,,,
R,Abden Simmons,No response,,Maine House of Representatives - District 14,,
D,Cameron D. Reny,No response,,,,
,,,,CANDIDATES,,
Maine Senate - District 14,,,,D,Lynne Williams,Answers
,,,,R,Stephen Coston,Answers
CANDIDATES,,,,,,
D,Craig V. Hickman,No response,,Maine House of Representatives - District 15,,
R,Jeffery P. Hanley,No response,,,,
,,,,CANDIDATES,,
Maine Senate - District 15,,,,D,Holly Eaton,Answers
,,,,R,Jason Joyce,No response
CANDIDATES,,,,,,
R,Matthew Pouliot,Answers,,Maine House of Representatives - District 16,,
D,Storme Jude St. Valle,Answers,,,,
,,,,CANDIDATES,,
Maine Senate - District 16,,,,D,Nina Azella Milliken,Answers
,,,,R,Stephen M. Hanrahan III,No response
CANDIDATES,,,,,,
D,David Philip LaFountain,No response,,Maine House of Representatives - District 17,,
R,Michael Dana Perkins,No response,,,,
,,,,CANDIDATES,,
Maine Senate - District 17,,,,D,Ron Russell,Answers
,,,,R,Sherman Hoyt Hutchins,No response
CANDIDATES,,,,,,
